GPAL,BD
917942960.3778863,1043689017.8041998
5771.569288355708,445145.07336744544
15352.228589018885,21288.94196412809
2820.1079245325345,5913.75557748873
2172.7605536544697,10392.738554730917
1530.8428712850352,10509.686585557902
1339.7381631108708,1396.2944640606513
1202.0389097526797,894.3876972298374
913.9649186672167,591.382166729878
1340.0334386603326,980.0447054666848
680.4506754276711,893.968476864819
482.7058679760021,347.77045051635196
384.45001986122077,240.3865601837086
387.11137149405863,194.61378892121968
365.6167989826837,74.9344843863797
190.11358286328328,56.3434409770921
247.59889643046785,45.151166318844794
119.54020896319396,32.76804870794945
183.01188547725147,30.35833381168683
0.0,0.0
