GPAL,BD
934449599.3714339,936470586.2794194
7453.495660548147,388622.6519193581
6307.935947850664,4077.2724760484716
1181.9739275896125,1251.6998486958164
857.2848777063648,2649.541925765232
525.3378122706351,2171.463033105667
488.7156410722047,1500.9965111456343
486.3276439501365,1643.2165063261345
42.591242842013145,65.28235072783923
84.40490022641698,53.11533218231531
33.174875575106945,26.29948165654414
45.54587095450603,47.047029648120606
42.05777440382444,19.839526171972892
45.47040770455266,22.84128888091689
44.708284019268824,10.26253575285337
46.89803877787469,18.401448634040726
63.625305946297296,22.358780110801625
4.084849571757047,2.221085309487677
0.0,0.0
0.0,0.0
