GPAL,BD
917942958.7812389,1043964968.2337823
3363.86193547766,440333.63703308394
15339.696972323207,21124.288732994697
2820.1494418633356,5964.8271848731765
2168.881222735448,10379.009880802916
1516.9941443477703,10496.1034122328
1339.6670897491324,1533.9420749126357
1202.039978826117,1050.5357357656244
913.0421303812301,724.014843789839
1340.0336061906357,1130.0294471254028
680.4507270304987,1056.2438775946146
482.70591671991133,334.5398683182402
384.4500453038861,227.05211401002123
387.11142054507906,181.16085320360926
365.6168353486047,61.469872617625384
190.11361127038148,42.716156247606094
247.59893123523034,31.597297935165013
144.64182900535857,19.208745207420314
219.3453746470849,16.825668363009715
1.578983857244667e-15,0.0
